,sub_id,run,presentation_order,video_number,video_category,category,expected_fear,fear,arousal,valence
393,14,3,34,2,1,Heights,0.0,-0.3648624812163211,-0.5705169171079553,0.03357250088226191
394,14,3,35,6,1,Heights,0.0,0.8771585785616034,0.9618974343364175,0.5371600141161874
395,14,3,36,8,1,Heights,0.0,-0.7298538708762187,-0.7141807625558652,-0.26858000705809393
396,15,1,1,12,1,Heights,0.283,-1.421010770187237,0.2021116154541513,-2.087078620233872
397,15,1,2,1,1,Heights,0.0,1.3255278013519431,-0.2701981748217741,0.4527664961476861
398,15,1,3,25,3,Spiders,0.63,0.654268449238068,0.9927931902864411,1.0883519868291083
399,15,1,4,20,2,Social,0.748,-0.3084963730949151,-0.2701981748217741,-0.1441031270810606
400,15,1,5,10,1,Heights,0.324,-0.5466116698468096,-0.6025643235344622,-0.6054672142254434
401,15,1,6,5,1,Heights,0.353,1.0120752112079483,0.6884157698864004,-0.24089279571274938
402,15,1,7,14,2,Social,0.665,0.9941848731094545,0.5204834000105157,1.2303101674889185
403,15,1,8,18,2,Social,0.722,0.403803715859152,0.42602144195533054,0.756040791193644
404,15,1,9,22,2,Social,0.7048408682206062,-1.3852300939902489,-1.753600775392088,-0.3796246540848366
405,15,1,10,32,3,Spiders,0.66,0.7317932476648754,0.5834580387139725,-0.7796886177624832
406,15,1,11,33,3,Spiders,0.646,0.6155060500246646,1.6235907822599092,1.2303101674889185
407,15,1,12,28,3,Spiders,0.768,1.1969420382257199,0.709407316120886,1.2303101674889185
408,15,2,13,24,2,Social,0.716,-1.421010770187237,0.5834580387139725,-1.4249530753070743
409,15,2,14,3,1,Heights,0.124,1.366900250161413,-0.2701981748217741,0.8883200049902853
410,15,2,15,2,1,Heights,0.787,1.1879968691764728,0.6289397222220245,-0.060218747600264015
411,15,2,16,26,3,Spiders,0.657,1.313229235865931,1.0382748737944931,0.914130583292069
412,15,2,17,23,2,Social,1.0048712513601743,-1.051277116151694,-2.0159951033231573,-0.5893356027868286
413,15,2,18,17,2,Social,0.407,-0.11939253673791386,-0.2701981748217741,0.30758199320015295
414,15,2,19,15,2,Social,0.573,0.3655284903119636,0.7024101340427241,1.2303101674889185
