,sub_id,run,presentation_order,video_number,video_category,category,expected_fear,fear,arousal,valence
685,28,1,2,1,1,Heights,0.186,0.348,0.548,0.46599999999999997
686,28,1,3,10,1,Heights,0.189,0.218,0.395,0.30200000000000005
687,28,1,4,35,3,Spiders,0.899,0.685,0.867,0.853
688,28,1,5,32,3,Spiders,0.914,0.907,0.717,0.964
689,28,1,6,30,3,Spiders,0.875,1.0,0.979,1.0
690,28,1,7,17,2,Social,0.134,0.382,0.7536247664487632,0.501
691,28,1,8,29,3,Spiders,0.878,0.924,0.825,0.97
692,28,1,9,20,2,Social,0.291,0.077,0.238,0.43700000000000006
693,28,1,10,18,2,Social,0.096,0.308,0.568,0.497
694,28,1,11,24,2,Social,0.135,0.07,0.633,0.29100000000000004
695,28,1,12,6,1,Heights,0.352,0.55,0.584,0.647
696,28,2,13,12,1,Heights,0.282,0.241,0.55,0.17900000000000005
697,28,2,14,5,1,Heights,0.156,0.334,0.586,0.546
698,28,2,15,14,2,Social,0.171,0.644,0.612,0.751
699,28,2,16,16,2,Social,0.168,0.761,0.761,0.928
700,28,2,17,27,3,Spiders,0.849,0.35649309695886644,0.499,0.928
701,28,2,18,34,3,Spiders,0.89,0.831,0.841,0.979
702,28,2,19,8,1,Heights,0.391,0.101,0.381,0.16600000000000004
703,28,2,20,3,1,Heights,0.264,0.698,0.69,0.84
704,28,2,21,28,3,Spiders,0.836,0.857,0.849,0.993
705,28,2,22,33,3,Spiders,0.917,1.0,1.0,0.954
706,28,2,23,23,2,Social,0.132,0.064,0.0,0.499
707,28,2,24,22,2,Social,0.14,0.087,0.27,0.37
708,28,3,25,31,3,Spiders,0.896,0.672,0.634,1.0
709,28,3,26,2,1,Heights,0.192,0.68,0.639,0.403
710,28,3,27,13,2,Social,0.048,0.104,0.602,0.33099999999999996
711,28,3,28,15,2,Social,0.155,0.607,0.608,0.753
712,28,3,29,9,1,Heights,0.238,0.09639537513172634,0.499,0.382
713,28,3,30,7,1,Heights,0.085,0.212,0.499,0.31000000000000005
714,28,3,31,4,1,Heights,0.168,0.685,0.644,0.7010000000000001
715,28,3,32,19,2,Social,0.223,0.116,0.108,0.499
716,28,3,33,21,2,Social,0.182,0.065,0.532,0.249
717,28,3,34,25,3,Spiders,0.774,0.984,1.0,0.996
718,28,3,35,36,3,Spiders,0.888,0.808,0.699,0.944
719,28,3,36,26,3,Spiders,0.872,1.0,1.0,0.974
720,29,1,1,12,1,Heights,0.665,0.394,0.486,0.41800000000000004
721,29,1,2,25,3,Spiders,0.399,0.517,0.431,0.595
722,29,1,3,31,3,Spiders,0.501,0.23,0.332,0.5920000000000001
723,29,1,4,21,2,Social,0.387,0.174,0.499,0.44999999999999996
724,29,1,5,19,2,Social,0.288,0.335,0.664,0.349
725,29,1,6,28,3,Spiders,0.8061083333333333,0.473,0.573,0.621
726,29,1,7,33,3,Spiders,0.452,0.387,0.496,0.525
727,29,1,8,3,1,Heights,1.0486891385767787,0.561,0.631,0.548
728,29,1,9,4,1,Heights,0.61,0.498,0.535,0.501
729,29,1,10,11,1,Heights,0.49,0.459,0.529,0.501
730,29,1,11,13,2,Social,0.451,0.43,0.61,0.46199999999999997
731,29,1,12,18,2,Social,0.446,0.444,0.499,0.501
732,29,2,13,2,1,Heights,0.543,0.534,0.547,0.54
733,29,2,14,9,1,Heights,0.556,0.441,0.397,0.488
734,29,2,15,1,1,Heights,0.425,0.532,0.545,0.538
735,29,2,16,22,2,Social,0.436,0.449,0.498,0.45999999999999996
736,29,2,17,15,2,Social,0.477,0.547,0.538,0.5509999999999999
737,29,2,18,16,2,Social,0.587,0.634,0.69,0.741
738,29,2,19,29,3,Spiders,0.438,0.509,0.54,0.5329999999999999
739,29,2,20,23,2,Social,0.574,0.43,0.499,0.501
740,29,2,21,34,3,Spiders,0.434,0.404,0.412,0.5329999999999999
741,29,2,22,26,3,Spiders,0.446,0.535,0.477,0.611
742,29,2,23,36,3,Spiders,0.542,0.46,0.46,0.51
743,29,2,24,10,1,Heights,0.464,0.496,0.514,0.501
744,29,3,25,35,3,Spiders,0.456,0.493,0.534,0.52
745,29,3,26,20,2,Social,0.43,0.525,0.522,0.523
746,29,3,27,24,2,Social,0.482,0.402,0.698,0.29100000000000004
747,29,3,28,6,1,Heights,0.431,0.566,0.605,0.593
748,29,3,29,32,3,Spiders,0.462,0.465,0.477,0.527
749,29,3,30,30,3,Spiders,0.459,0.535,0.516,0.5509999999999999
750,29,3,31,27,3,Spiders,0.454,0.547,0.529,0.5429999999999999
751,29,3,32,14,2,Social,0.46,0.577,0.556,0.733
752,29,3,33,17,2,Social,0.6352790206746466,0.579,0.53,0.544
753,29,3,34,7,1,Heights,0.542,0.462,0.499,0.45799999999999996
754,29,3,35,5,1,Heights,0.439,0.584,0.55,0.569
755,29,3,36,8,1,Heights,0.48,0.212,0.444,0.372
