,sub_id,run,presentation_order,video_number,video_category,category,expected_fear,fear,arousal,valence
222,10,1,7,31,3,Spiders,0.179,-0.38479143592724613,-0.37419444444444444,-0.03938888888888892
223,10,1,8,5,1,Heights,0.111,0.5222085640727538,0.4058055555555556,0.41961111111111116
224,10,1,9,4,1,Heights,0.499,0.4192085640727539,0.6088055555555556,0.40661111111111115
225,10,1,10,20,2,Social,0.038,0.10620856407275386,-0.26719444444444446,0.1056111111111111
226,10,1,11,13,2,Social,0.254,-0.35279143592724616,0.38580555555555557,-0.4993888888888889
227,10,1,12,19,2,Social,0.269,-0.35579143592724616,-0.38919444444444445,-0.07838888888888884
228,10,2,13,33,3,Spiders,0.22,0.3142085640727538,0.2658055555555556,0.39961111111111114
229,10,2,14,1,1,Heights,0.249,0.5402085640727539,0.2788055555555556,0.3706111111111111
230,10,2,15,3,1,Heights,0.303,0.6032085640727538,0.5908055555555556,0.39161111111111113
231,10,2,16,18,2,Social,0.21,-0.19379143592724613,-0.39119444444444446,-0.027388888888888907
232,10,2,17,32,3,Spiders,0.246,-0.3817914359272461,-0.39119444444444446,-0.08338888888888885
233,10,2,18,28,3,Spiders,0.259,0.34920856407275386,0.3178055555555555,0.12861111111111123
234,10,2,19,26,3,Spiders,0.246,0.11020856407275387,0.3128055555555555,0.06461111111111117
235,10,2,20,10,1,Heights,0.499,-0.18479143592724614,-0.21519444444444447,-0.35738888888888887
236,10,2,21,8,1,Heights,0.499,-0.38879143592724613,-0.39119444444444446,-0.5803888888888888
237,10,2,22,21,2,Social,0.182,-0.38879143592724613,-0.39119444444444446,-0.5013888888888889
238,10,2,23,17,2,Social,0.197,0.6112085640727538,0.10780555555555554,0.41961111111111116
239,10,2,24,23,2,Social,0.187,-0.38879143592724613,-0.39119444444444446,-0.07938888888888884
240,10,3,25,12,1,Heights,0.495,-0.01929974254638661,0.10780555555555554,-0.5403888888888888
241,10,3,26,2,1,Heights,0.425,0.35320856407275386,0.23380555555555554,0.08061111111111119
242,10,3,27,9,1,Heights,0.498,-0.3627914359272461,-0.34719444444444447,-0.5403888888888888
243,10,3,28,34,3,Spiders,0.272,-0.38879143592724613,0.03180555555555553,0.41261111111111115
244,10,3,29,35,3,Spiders,0.29,-0.38879143592724613,-0.37919444444444445,-0.07938888888888884
245,10,3,30,30,3,Spiders,0.252,0.17520856407275381,0.5848055555555556,0.28061111111111114
246,10,3,31,24,2,Social,0.178,-0.34079143592724614,-0.12119444444444444,-0.5803888888888888
247,10,3,32,15,2,Social,0.205,0.6112085640727538,0.26480555555555557,0.41961111111111116
248,10,3,33,25,3,Spiders,0.347,0.23620856407275387,0.2808055555555556,0.3296111111111112
249,10,3,34,22,2,Social,0.202,-0.38879143592724613,-0.39119444444444446,-0.47338888888888886
250,10,3,35,16,2,Social,0.246,0.6112085640727538,0.4028055555555556,0.41961111111111116
251,10,3,36,6,1,Heights,0.345,0.6052085640727538,0.6088055555555556,0.39961111111111114
252,11,1,1,34,3,Spiders,0.113,-0.08230555555555553,-0.3417222222222223,0.12586111111111115
253,11,1,2,21,2,Social,0.101,-0.027305555555555527,-0.2767222222222223,0.12586111111111115
254,11,1,3,33,3,Spiders,0.139,-0.06930555555555552,0.18227777777777776,-0.20813888888888882
255,11,1,4,25,3,Spiders,0.114,0.1576944444444445,0.3752777777777777,0.5208611111111112
256,11,1,5,26,3,Spiders,0.085,0.26869444444444446,0.28927777777777774,-0.21413888888888882
257,11,1,6,5,1,Heights,0.106,-0.01730555555555552,-0.051722222222222336,0.12586111111111115
258,11,1,7,3,1,Heights,0.101,0.3056944444444445,0.3752777777777777,-0.0001388888888888551
259,11,1,8,10,1,Heights,0.186,-0.12030555555555553,-0.3997222222222223,0.3108611111111111
260,11,1,9,23,2,Social,0.155,-0.08730555555555553,-0.5087222222222223,0.0018611111111111467
261,11,1,10,16,2,Social,0.124,0.02169444444444446,0.3392777777777777,0.0018611111111111467
262,11,1,11,17,2,Social,0.096,-0.11530555555555552,-0.1257222222222223,0.12586111111111115
263,11,1,12,12,1,Heights,0.117,-0.10030555555555552,-0.2687222222222223,-0.0521388888888889
264,11,2,13,29,3,Spiders,0.119,0.18069444444444446,0.1092777777777777,0.3218611111111112
265,11,2,14,9,1,Heights,0.166,-0.14130555555555552,-0.3987222222222223,-0.031138888888888883
266,11,2,15,15,2,Social,0.109,-0.03830555555555554,0.13527777777777772,-0.3121388888888889
267,11,2,16,4,1,Heights,0.126,0.04569444444444448,0.040277777777777746,-0.12313888888888885
268,11,2,17,7,1,Heights,0.106,-0.09830555555555553,-0.4517222222222223,-0.009138888888888863
269,11,2,18,6,1,Heights,0.13,-0.0063055555555555365,0.2602777777777777,-0.10513888888888884
270,11,2,19,24,2,Social,0.153,-0.09430555555555553,0.3392777777777777,-0.3151388888888888
271,11,2,20,19,2,Social,0.103,-0.035305555555555534,-0.3367222222222223,0.02786111111111117
272,11,2,21,14,2,Social,0.114,-0.04330555555555554,0.31027777777777776,-0.022138888888888875
273,11,2,22,30,3,Spiders,0.114,-0.04330555555555554,-0.07172222222222224,-0.07613888888888881
274,11,2,23,35,3,Spiders,0.122,0.03969444444444448,0.04727777777777775,0.4648611111111111
275,11,2,24,32,3,Spiders,0.135,-0.12630555555555553,0.32227777777777766,-0.3221388888888888
276,11,3,25,36,3,Spiders,0.093,-0.08130555555555553,-0.07372222222222224,0.12586111111111115
277,11,3,26,28,3,Spiders,0.126,-0.08430555555555552,0.31527777777777766,-0.3311388888888888
278,11,3,27,27,3,Spiders,0.095,0.4326944444444445,0.31527777777777766,0.012861111111111156
279,11,3,28,18,2,Social,0.077,0.09669444444444444,0.2452777777777777,0.004861111111111149
280,11,3,29,1,1,Heights,0.101,0.2926944444444445,0.19327777777777766,0.04886111111111119
281,11,3,30,13,2,Social,0.126,0.06169444444444447,0.27327777777777773,-0.37513888888888886
282,11,3,31,20,2,Social,0.106,-0.12330555555555553,0.029277777777777736,-0.23713888888888884
283,11,3,32,22,2,Social,0.108,-0.08730555555555553,-0.4817222222222223,0.12586111111111115
284,11,3,33,31,3,Spiders,0.126,-0.07930555555555553,-0.051722222222222336,0.23386111111111113
285,11,3,34,11,1,Heights,0.088,-0.09830555555555553,-0.2957222222222223,0.0718611111111111
286,11,3,35,2,1,Heights,0.119,-0.03230555555555553,0.13527777777777772,-0.1691388888888889
287,11,3,36,8,1,Heights,0.124,-0.07130555555555552,-0.4977222222222223,0.12586111111111115
